ReturnID,SaleID,ReturnDate,Reason,RefundAmount
RET000001,SAL059219,2019-07-14,Late Delivery,214.3
RET000002,SAL199446,2022-05-25,Customer Changed Mind,7919.0
RET000003,SAL178897,2021-11-03,Customer Changed Mind,1525.72
RET000004,SAL075084,2023-04-20,Customer Changed Mind,1766.6
RET000005,SAL106197,2021-09-03,Wrong Item,4115.13
RET000006,SAL125114,2019-01-05,Wrong Item,2099.22
RET000007,SAL040376,2023-03-02,Wrong Item,3783.17
RET000008,SAL199465,2017-12-13,Late Delivery,223.03
RET000009,SAL053410,2023-05-05,Customer Changed Mind,1050.56
RET000010,SAL164567,2017-10-10,Wrong Item,364.72
RET000011,SAL033577,2024-07-22,Defective,4235.3
RET000012,SAL158963,2022-04-05,Late Delivery,2316.46
RET000013,SAL131540,2022-09-28,Late Delivery,2188.32
RET000014,SAL026656,2023-11-01,Late Delivery,4135.05
RET000015,SAL060498,2020-12-19,Defective,6349.89
RET000016,SAL109164,2021-04-21,Wrong Item,1273.66
RET000017,SAL031271,2018-10-17,Defective,2759.99
RET000018,SAL026074,2024-05-28,Wrong Item,1558.65
RET000019,SAL156946,2024-08-10,Defective,2403.75
RET000020,SAL187660,2022-05-31,Customer Changed Mind,341.13
RET000021,SAL109621,2018-02-07,Customer Changed Mind,4922.72
RET000022,SAL090202,2022-03-17,Defective,1996.69
RET000023,SAL122621,2019-09-12,Late Delivery,4752.49
RET000024,SAL195375,2023-05-27,Defective,5976.64
RET000025,SAL155932,2023-05-18,Late Delivery,3995.65
RET000026,SAL181164,2018-07-12,Customer Changed Mind,4304.54
RET000027,SAL115991,2019-04-21,Wrong Item,3300.69
RET000028,SAL150722,2021-01-05,Late Delivery,770.66
RET000029,SAL115340,2018-02-22,Customer Changed Mind,40.8
RET000030,SAL132937,2017-08-06,Defective,2286.36
RET000031,SAL017586,2022-11-04,Wrong Item,4764.68
RET000032,SAL109817,2017-04-09,Late Delivery,4652.87
RET000033,SAL045771,2019-02-11,Late Delivery,1313.06
RET000034,SAL082327,2018-12-01,Wrong Item,451.21
RET000035,SAL091268,2019-02-11,Wrong Item,3072.58
RET000036,SAL146469,2023-10-08,Late Delivery,1061.25
RET000037,SAL140801,2019-06-29,Late Delivery,402.61
RET000038,SAL108115,2017-04-18,Wrong Item,3090.73
RET000039,SAL191939,2022-03-18,Customer Changed Mind,2500.89
RET000040,SAL056906,2024-12-16,Customer Changed Mind,3605.33
RET000041,SAL066967,2021-08-17,Defective,480.21
RET000042,SAL176653,2021-12-08,Customer Changed Mind,9520.82
RET000043,SAL028683,2021-09-18,Defective,1527.65
RET000044,SAL075490,2017-09-21,Wrong Item,970.48
RET000045,SAL194561,2021-03-11,Wrong Item,8505.48
RET000046,SAL177713,2018-10-23,Wrong Item,1717.23
RET000047,SAL057871,2021-03-12,Customer Changed Mind,735.21
RET000048,SAL144548,2024-07-22,Wrong Item,1820.03
RET000049,SAL137337,2024-01-28,Wrong Item,4534.76
RET000050,SAL002069,2019-11-01,Late Delivery,4486.93
RET000051,SAL163337,2024-07-26,Defective,2943.37
RET000052,SAL004733,2023-02-15,Late Delivery,1182.97
RET000053,SAL078282,2022-04-11,Customer Changed Mind,765.87
RET000054,SAL065634,2017-04-17,Late Delivery,2088.11
RET000055,SAL057599,2022-06-23,Late Delivery,5929.12
RET000056,SAL018764,2018-04-19,Late Delivery,1998.78
RET000057,SAL138193,2021-09-29,Late Delivery,2303.21
RET000058,SAL030355,2019-10-04,Customer Changed Mind,4451.19
RET000059,SAL155808,2023-08-24,Wrong Item,1167.39
RET000060,SAL098266,2017-04-02,Wrong Item,5554.91
RET000061,SAL172868,2017-12-23,Late Delivery,232.67
RET000062,SAL124342,2023-05-19,Customer Changed Mind,5775.14
RET000063,SAL189618,2020-05-27,Defective,549.06
RET000064,SAL152802,2024-10-21,Wrong Item,4636.23
RET000065,SAL142754,2024-06-08,Late Delivery,3766.55
RET000066,SAL016558,2024-09-18,Customer Changed Mind,3253.58
RET000067,SAL048078,2021-05-27,Wrong Item,912.82
RET000068,SAL141413,2017-06-14,Late Delivery,1574.33
RET000069,SAL003880,2022-02-19,Customer Changed Mind,545.14
RET000070,SAL075500,2022-09-18,Defective,2271.16
RET000071,SAL106128,2017-11-26,Late Delivery,4667.58
RET000072,SAL058397,2023-09-12,Wrong Item,1913.89
RET000073,SAL163467,2022-11-09,Defective,707.68
RET000074,SAL003379,2019-04-27,Late Delivery,3251.47
RET000075,SAL110416,2022-03-18,Late Delivery,2348.29
RET000076,SAL090479,2018-07-28,Customer Changed Mind,6444.12
RET000077,SAL030811,2024-06-02,Late Delivery,1329.54
RET000078,SAL118532,2022-04-25,Wrong Item,3428.27
RET000079,SAL026955,2018-04-25,Late Delivery,7144.34
RET000080,SAL087714,2022-08-02,Defective,1368.36
RET000081,SAL013646,2019-06-10,Customer Changed Mind,3451.43
RET000082,SAL191897,2020-02-22,Late Delivery,6692.62
RET000083,SAL003773,2024-03-06,Late Delivery,2221.43
RET000084,SAL150095,2023-08-12,Wrong Item,290.54
RET000085,SAL041799,2019-12-31,Customer Changed Mind,2241.55
RET000086,SAL053233,2022-07-12,Defective,1109.52
RET000087,SAL144786,2021-05-17,Customer Changed Mind,418.98
RET000088,SAL173723,2020-08-30,Customer Changed Mind,7164.59
RET000089,SAL064518,2023-03-21,Late Delivery,903.62
RET000090,SAL166701,2019-08-16,Late Delivery,4085.68
RET000091,SAL114492,2024-03-09,Defective,6961.5
RET000092,SAL147064,2019-11-16,Wrong Item,833.6
RET000093,SAL137191,2018-05-31,Wrong Item,2395.21
RET000094,SAL004913,2019-05-09,Late Delivery,4581.81
RET000095,SAL135126,2023-06-21,Defective,8642.75
RET000096,SAL141547,2023-02-28,Customer Changed Mind,3241.14
RET000097,SAL142529,2018-08-16,Customer Changed Mind,1398.21
RET000098,SAL130349,2019-11-13,Customer Changed Mind,365.72
RET000099,SAL031457,2024-07-10,Customer Changed Mind,3717.35
RET000100,SAL056514,2021-09-17,Wrong Item,2939.68
RET000101,SAL027947,2018-05-20,Customer Changed Mind,167.78
RET000102,SAL058869,2021-10-23,Wrong Item,5748.54
RET000103,SAL011381,2024-04-01,Defective,3175.67
RET000104,SAL184121,2022-07-06,Customer Changed Mind,3802.58
RET000105,SAL035954,2018-09-26,Defective,168.02
RET000106,SAL180317,2019-06-24,Defective,3392.86
RET000107,SAL010024,2019-12-25,Wrong Item,3485.55
RET000108,SAL025628,2019-06-02,Customer Changed Mind,594.59
RET000109,SAL160096,2018-05-05,Wrong Item,2790.67
RET000110,SAL093759,2020-12-30,Late Delivery,3694.06
RET000111,SAL199325,2020-06-07,Customer Changed Mind,5172.48
RET000112,SAL099473,2022-04-09,Customer Changed Mind,2114.77
RET000113,SAL063781,2017-06-20,Late Delivery,1585.31
RET000114,SAL071895,2018-04-05,Customer Changed Mind,773.87
RET000115,SAL151840,2018-11-11,Customer Changed Mind,3229.69
RET000116,SAL062305,2023-05-09,Customer Changed Mind,215.39
RET000117,SAL161158,2019-06-04,Wrong Item,542.58
RET000118,SAL150267,2024-08-17,Late Delivery,770.93
RET000119,SAL064608,2022-09-26,Defective,3132.5
RET000120,SAL060928,2021-10-24,Defective,1654.54
RET000121,SAL198661,2019-01-08,Wrong Item,4472.71
RET000122,SAL021621,2021-12-21,Defective,3154.45
RET000123,SAL039034,2017-10-13,Late Delivery,1644.11
RET000124,SAL051191,2021-07-05,Late Delivery,1588.63
RET000125,SAL044931,2017-05-24,Defective,1321.39
RET000126,SAL062092,2018-03-04,Wrong Item,1109.93
RET000127,SAL028011,2023-01-09,Late Delivery,722.15
RET000128,SAL173135,2017-03-11,Defective,946.6
RET000129,SAL062798,2022-07-04,Defective,4732.11
RET000130,SAL058989,2023-11-04,Wrong Item,196.8
